HTTP,115.219.170.224,8118
HTTPS,120.79.66.7,8118
HTTP,120.83.99.0,808
HTTPS,113.128.11.15,9999
HTTP,1.197.10.62,9999
HTTP,120.83.120.114,9999
HTTP,114.239.148.33,9999
HTTP,182.35.84.168,9999
HTTP,120.84.102.187,9999
HTTP,27.43.189.232,9999
HTTP,1.199.31.43,9999
HTTP,222.89.32.187,9999
HTTP,117.95.198.137,9999
HTTP,110.86.138.63,9999
HTTP,110.86.138.77,9999
HTTP,123.163.96.218,9999
HTTP,144.123.68.6,9999
HTTP,222.189.245.25,808
HTTP,1.197.204.193,9999
HTTP,123.163.97.156,9999
HTTP,27.43.190.187,9999
HTTP,183.32.220.61,61234
HTTP,171.13.137.96,9999
HTTP,27.43.189.142,9999
HTTP,120.83.122.153,9999
